"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"F-18 Hornet",,cadbb92d59d373c6f04420319eaf3cb448103b0e,,,,,,"Video NTSC",1988,"Absolute Entertainment",,,,,,,,,,,,,,
@,,cc6feb8236776c49cb57875130c1c3b5e984253e,,,"Donkey Kong",,,"Video NTSC",1988,Atari,@,,,,,,,,,,,,,
"7800 DEV OS BIOS",,ce7856ab8bf947b2d9ddc4080fa9fa2c24c3bb29,,,,,,PD,,,,,,,,,,,,,,,,
@,,cf1edf5e8728c0a9bb688ed9fe28994881e081bd,,,Klax,,,"Video NTSC; Language proto",1992,Atari,@,,,,,,,,,,,,,
"Tomcat: The F-14 Fighter Simulator",,cf5774e0ec2f127b40759e184572eab22b0ac635,,,,,,"Video NTSC",1989,"Absolute Entertainment",,,,,,,,,,,,,,
"Midnight Mutants",,d0a24c0238520f666d9b558c79a8ee5131983fee,,,,,,"Video PAL",1990,Atari,,,,,,,,,,,,,,
"Pit Fighter",,d1ad56c792597a83fa51d29e8236ad5b818ada87,,,,,,"Video NTSC; Language proto",1992,Atari,,o,"o 1",,,,,,,,,,,
"Ikari Warriors",,d276034ad0cb78233f41d62f26ae8c13941b347f,,,,,,"Video NTSC",1989,Atari,,,,,,,,,,,,,,
"RealSports Baseball",,d2b8b6dbb600b2e8b70abbabc10984c5a6e391ba,,,,,,"Video NTSC",1988,Atari,,,,,,,,,,,,,,
@,,d419772b1aa40cb4c62faea904000fbb243c0b46,,,"Hat Trick",,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,,
"F-18 Hornet",,d60230712f924f386ee72f5512dbf41588b7fda2,,,,,,"Video NTSC",1988,"Absolute Entertainment",,b,"b 1",,,,,,,,,,,
Xenophobe,,d70bf96175e9a496b3041c149b727b23fe44e91e,,,,,,"Video NTSC",1989,Atari,,,,,,,,,,,,,,
"Mat Mania Challenge",,d84a0f727e2176a58ec222c3b4a3364ddd6c4e30,,,,,,"Video NTSC",1990,Atari,,,"a 1",,,,,,,,,,,
@,,d9d134bb6b36907c615a594cc7688f7bfcef5b43,,,"Atari 7800 BIOS",,,"Video NTSC",1984,Atari,@,,,,,,,,,,,,,
"Dig Dug",,dd8d50b1b72953d7535aec08880270f3b5245e12,,,,,,"Video NTSC",1987,Atari,,,"a 1",,,,,,,,,,,
"Alien Brigade",,e0ab2c70d89f7aa30a27a16bc48bd0910e328211,,,,,,"1990; Atari; b1",,,,,,,,,,,,,,,,
"One-on-One Basketball",,e360ea84ad560e649852a7cb0220f552c5d8c442,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
"Tower Toppler",,e4b5a0dd8bfc9319289076ef0aa4543d94019e5c,,,,,,"Video NTSC",1988,Atari,,,,,,,,,,,,,,
"Impossible Mission",,e4dbf8b257f8f3cf9ea7a66b798aaa31babaf83a,,,,,,"1987; Atari; f1",,,,,,,,,,,,,,,,
Rampage,,e50fb1311c71fc4bfc710d601638b41c4d81925a,,,,,,"1989; Activision; b1; o1",,,,,,,,,,,,,,,,
Karateka,,e6b6972937d3a77a9badd0ddd32021a2d8efff04,,,,,,"Video PAL",1988,Atari,,,,,,,,,,,,,,
"Mat Mania Challenge",,e83dfc8c1546527aa79176444937af1897aff80e,,,,,,"Video PAL",1990,Atari,,,,,,,,,,,,,,
"Ms. Pac-Man",,e878bde9200cd8bcfe82e3ef51e20d16983328db,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
Jinks,,e8e731a2f19f8cb83617a91c4aaaff28bb89ef7d,,,,,,"Video NTSC",1989,Atari,,,,,,,,,,,,,,
"Robot Finds Kitten 7800",,e9116d29a4c990cddb18753703c91d34b1fe5f87,,,,,,"V20040320; PD",,,,,,,,,,,,,,,,
@,,ebc08fbff47e727d3f87b8e838e4e81257a79804,,,"Barnyard Blaster",,,"Video NTSC",1988,Atari,@,,,,,,,,,,,,,
"Ace of Aces",,ec308d7eaa759bf1cc3f12b07537699c8eafd59d,,,,,,"Video PAL",1988,Atari,,,,,,,,,,,,,,
"Title Match Pro Wrestling",,ec9e08f2fe5ba8e5d9cf60fc327094f6b1b92294,,,,,,"1989; Absolute; o1",,,,,,,,,,,,,,,,
"Alien Brigade",,eec0c56ff4cd107101e0d44bc55913e6d886da94,,,,,,"Video NTSC",1990,Atari,,,,,,,,,,,,,,
Klax,,ef5de81827dbf03fec742206e99904e8c47724de,,,,,,"Video NTSC; Language proto",1992,Atari,,b,"b 1",,,,,,,,,,,
Karateka,,ef839309a2770efd09955ed3467f0970a64d8243,,,,,,"Video NTSC",1988,Atari,,,"a 1",,,,,,,,,,,
"Hat Trick",,f1a01335e1311a96561ff799edb05f2c1ad1ef0b,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
"Diagnostic Test Cartridge",,f1da35db85f99db8803ae088499cb9dc148fe0c6,,,,,,"Video NTSC",1984,Atari,,,"a 1",,,,,,,,,,,
@,,f1e66a300bbb2e52c52f180ae15e5e6024323d6d,,,"Donkey Kong Junior",,,"Video NTSC",1988,Atari,@,,,,,,,,,,,,,
Xevious,,f2a76e8f8d1b79a4859bc9d7a90b4c1f7e013f8a,,,,,,"Video PAL",1988,Atari,,,,,,,,,,,,,,
"Motor Psycho",,f59f5081979b69b30a6f3cf9f2be5345747ee14e,,,,,,"Video NTSC",1990,Atari,,,,,,,,,,,,,,
"Alien Brigade",,f629efb4526f371022f782d506ec92c7c7a1acaa,,,,,,"1990; Atari; CC2 Hack",,,,,,,,,,,,,,,,
"Pole Position II",,f77e284dbfc472b74177ff0e4a012b44ef2efa6e,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
@,,fb504fec071574d0a33d495c34a467fbb10b2bed,,,Sentinel,,,"Video PAL",1991,Atari,@,,,,,,,,,,,,,
"Super Skateboardin'",,fbf1848df9def28df693a3b85589ffb72273519a,,,,,,"Video NTSC",1988,"Absolute Entertainment",,,,,,,,,,,,,,
"Beef Drop 7800",,fdf214edf9eb6055f22188845fdf6d36f88d0da0,,,,,,V20041106-Rev13,,,,,,,,,,,,,,,,
"Barnyard Blaster",,ff9679a3f2f98d4c5e4a9f5c232f88d2db2bfa92,,,,,,"Video NTSC",1988,Atari,,b,"b 1",,,,,,,,,,,
