"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,30d214753b89b13455830b5d99aacd926127d63a,,,"Desert Falcon",,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,,
"Pole Position II",,319702e597f1fc419c1a530ed8cff2ea6c76e8fb,,,,,,"Video NTSC",1987,Atari,,,"a 1",,,,,,,,,,,
@,,329782dd80a7ef88b81ab348aba4a0d478f0432f,,,Ballblazer,,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,,
@,,32b5ddc7bef1b140e94b17ce002809cf4566929f,,,Karateka,,,"Video NTSC",1988,Atari,@,,,,,,,,,,,,,
Commando,,3314ce17df8b1b6fc52e13ccf8d6ea1aadbc66c4,,,,,,"Video NTSC",1989,Atari,,,"a 1",,,,,,,,,,,
"Mean 18 Ultimate Golf",,34e8ae5ecbed5a27635ce0b7aa5e1c154f7c8a6c,,,,,,"Video PAL",1989,Atari,,,,,,,,,,,,,,
@,,34f4e33c4d395f3d06197f96fb3e190c72e96f1f,,,Choplifter!,,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,,
"Super Huey UH-1X",,35a03c8a15e63e53f5cc4334450bc7d695b7bea8,,,,,,"Video PAL",1988,Atari,,,,,,,,,,,,,,
"Motor Psycho",,363006e26a7c30d7140b8172faeaad4dc5f265d5,,,,,,"Video PAL",1990,Atari,,,,,,,,,,,,,,
"Ace of Aces",,384311f2b20c256d755fe470fb82ce8ad094bca0,,,,,,"Video NTSC",1988,Atari,,,"a 1",,,,,,,,,,,
@,,38f044a7267e6beac17f0824325bda3cd2ec3b9b,,,"Ms. Pac-Man",,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,,
Crack'ed,,39836c29772e91acb3db84e526dc62e2bd726fbf,,,,,,"Video PAL",1988,Atari,,,,,,,,,,,,,,
"Scrapyard Dog",,39d2388d4b68c04b905eaa2e5456769da60c11bd,,,,,,"Video PAL",1990,Atari,,,,,,,,,,,,,,
"Dig Dug",,3a0614b5ed04e878d63143fec23a75b778b9fd9b,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
Klax,,3ca412fdb435b49f3558c2e0649ac67f513484c7,,,,,,"Video NTSC; Language proto",1992,Atari,,,"a 1",,,,,,,,,,,
"Tomcat: The F-14 Fighter Simulator",,3e95e46a1e5b54908a8cf814478037f745e605d9,,,,,,"Video PAL",1989,"Absolute Entertainment",,,,,,,,,,,,,,
"Mario Bros.",,3f2905ae606d5e7c2e05d1bf6bb6525f88af31ba,,,,,,"Video PAL",1988,Atari,,,,,,,,,,,,,,
"Food Fight",,41c8df367c77f15457383140d590c5e6a0ee5f76,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
"Winter Games",,42283b1297237e04c6ef69234770d093ffef8949,,,,,,"Video NTSC",1987,Atari,,b,"b 1",,,,,,,,,,,
"Donkey Kong",,46aa055a2cc950f075cf6833e1338c73027459d4,,,,,,"Video NTSC",1988,Atari,,,"a 1",,,,,,,,,,,
"Fight Night",,48d87db3dfc85b20c04410104023694d60baf8a1,,,,,,"Video NTSC",1988,Atari,,,,,,,,,,,,,,
"Touchdown Football",,4a7afa496ad97bc2b840ac60eb2827a743b01074,,,,,,"Video NTSC",1988,Atari,,,,,,,,,,,,,,
"Beef Drop 7800",,4ab521b0e07afbab159c4c74172e11f13f5a54bf,,,,,,"V20041026-Rev05; a1",,,,,,,,,,,,,,,,
Crossbow,,4f2cd2fdd900c26b4d56bc55349b8c34497e761d,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
Crossbow,,520b6d9ef2ef4edae9a8cdf8da57c85810908a9a,,,,,,"Video NTSC",1987,Atari,,,,,,,,,,,,,,
"Klax: Impossible Level 3",,52d18767dfb2745cb3d0abaf15b2a52717d0bcbc,,,,,,Hack,,,,,,,,,,,,,,,,
"Q-bert Demo by Ken Siders",,54624fd7862fcd471ecec08f9ef5e937b02e97ca,,,,,,"V20021109; PD",,,,,,,,,,,,,,,,
"7800 Kern Demo by Christopher Tumber",,54c3b69e8ed46a4fdacceab9a899a2542d55f81f,,,,,,2004,,,,,,,,,,,,,,,,
"Pit Fighter",,56134e14414effe6e37d75935dbd9dda00888ff8,,,,,,"Video NTSC; Language proto",1992,Atari,,,,,,,,,,,,,,
"Atari 7800 Symbolic Debug Monitor & Downloader",,5791a81845b12cb2c1d6499b9eec8a028c4fc610,,,,,,"Video NTSC",1988,Atari,,,"encryption checker",,,,,,,"John Saeger",,,,
"Beef Drop 7800",,57a35c80acd7210966ddf50a9135c463b46bba5c,,,,,,"Oct 20-Rev 03; 2004; PD",,,,,,,,,,,,,,,,
@,,57ddbc1da7d8c91a6a2d3d80af7db98f0daa05e6,,,"Impossible Mission",,,"Video NTSC",1987,Atari,@,,"a 1",,,,,,,,,,,
"Beef Drop 7800",,5824fea1546a64afecc2c6e817dce77b4c80f870,,,,,,V20041019-Rev02,,,,,,,,,,,,,,,,
"KDEMO by Ken Siders",,58505cf44e6bd9b2b7bce7751c1a21070c3fd5fd,,,,,,"V20021013; PD",,,,,,,,,,,,,,,,
"Beef Drop 7800",,585abb2fc9aeb0bf92ceb93bbaad153d16dd29c4,,,,,,V20041019-Rev01,,,,,,,,,,,,,,,,
"Planet Smashers",,58a82ff0bbbe418d1c2d950c9ecff7f5c549618f,,,,,,"Video NTSC",1989,Atari,,,,,,,,,,,,,,
@,,58e1a65114689e526ad89a4a47e237161d15ab2b,,,"Super Huey UH-1X",,,"Video NTSC",1988,Atari,@,,"a 2",,,,,,,,,,,
@,,5a140136a16d1d83e4ff32a19409ca376a8df874,,,"Atari 7800 BIOS",,,"Video PAL",198x,Atari,@,,,,,,,,,,,,,
@,,5a3de17714b24eb526d0ec62b327f4bc66a7fe9f,,,"Mean 18 Ultimate Golf",,,"Video NTSC",1989,Atari,@,,,,,,,,,,,,,
"Donkey Kong",,5a5a0adb9a081972040eb608051d7e5edd28ee30,,,,,,"Video PAL",1988,Atari,,,,,,,,,,,,,,
"Ikari Warriors",,5a9cb92d46a8f66d848df0915c0533f32db12b62,,,,,,"Video PAL",1989,Atari,,,,,,,,,,,,,,
"Beef Drop 7800",,5aaffdf44b54afc494422ba740e6080e133dba9a,,,,,,V20041105-Rev12,,,,,,,,,,,,,,,,
